Dataset,SES,Theta,TBATS,ETS,(DHR-)ARIMA,PR,CatBoost,FFNN,DeepAR,N-BEATS,WaveNet,Transformer,Prophet,Informer*,Autoformer,DLinear independent,DLinear multivariate,N-BEATS global,N-HITS,NLinear independent,NLinear multivariate,PatchTST independent,PatchTST multivariate,TiDE,TimesFM(ZS) foundational
M1 Yearly,4.938,4.191,3.499,3.771,4.479,4.588,4.427,4.355,4.603,4.384,4.666,5.519,5.633,,,,,5.525,4.840,,,,,6.258,5.257
M3 Monthly,1.091,0.864,0.861,0.865,0.873,1.01,1.065,1.011,1.167,0.934,1.008,1.454,1.375,,,,,0.916,0.906,,,,,1.066,0.983
M3 Other,3.089,2.271,1.848,1.814,1.831,2.655,3.178,2.615,2.975,2.39,2.127,2.781,4.694,,,,,,,,,,,,
M3 Quarterly,1.417,1.117,1.256,1.17,1.24,1.248,1.441,1.329,1.31,1.182,1.29,2.452,1.672,,,,,1.134,1.136,,,,,1.522,1.290
M3 Yearly,3.167,2.774,3.127,2.86,3.417,3.223,3.788,3.399,3.508,2.961,3.014,3.003,4.152,,,,,3.024,2.824,,,,,3.272,3.428
M4 Daily,1.154,1.153,1.157,1.239,1.179,1.162,1.593,1.141,2.212,1.218,1.157,1.377,3.698,,,,,1.125,1.142,,,,,1.324,1.328
M4 Hourly,11.607,11.524,2.663,26.69,13.557,1.662,1.771,2.862,2.145,2.247,1.68,8.84,1.776,,,,,2.756,3.781,,,,,3.081,0.812
M4 Monthly,1.15,0.97,1.053,0.948,0.962,1.08,1.093,1.151,1.163,1.026,1.16,2.125,1.367,,,,,0.970,0.987,,,,,1.122,1.063
M4 Quarterly,1.417,1.231,1.186,1.161,1.228,1.316,1.338,1.42,1.274,1.239,1.242,1.52,1.758,,,,,1.209,1.226,,,,,1.469,1.370
M4 Weekly,0.587,0.546,0.504,0.575,0.55,0.481,0.615,0.545,0.586,0.453,0.587,0.695,1.049,,,,,0.484,0.473,,,,,0.560,0.463
,,,,,,,,,,,,,,,,,,3.430,3.344,,,,,3.698,
NN5 Daily,1.521,0.885,0.858,0.865,1.013,1.263,0.973,0.941,0.919,1.134,0.916,0.958,0.883,0.933,1.087,0.960,0.961,0.901,0.908,0.957,0.957,1.156,1.017,0.962,1.483
NN5 Weekly,0.903,0.885,0.872,0.911,0.887,0.854,0.853,0.85,0.863,0.808,1.123,1.141,0.927,1.079,1.032,1.126,0.879,0.824,0.864,1.098,0.847,1.011,0.961,0.848,0.857
Pedestrians,0.957,0.958,1.297,1.19,3.947,0.256,0.262,0.267,0.272,0.38,0.247,0.274,2.034,,,,,0.245,0.241,,,,,0.245,0.257
Rideshare,3.014,3.641,3.067,4.04,1.53,3.019,2.908,4.198,4.029,3.877,3.009,4.04,4.666,,7.680,4.580,4.314,4.108,4.041,4.485,4.418,3.617,3.753,4.164,2.985
Saugeen,1.426,1.425,1.477,2.036,1.485,1.674,1.411,1.524,1.56,1.852,1.471,1.861,1.51,1.896,1.546,1.602,1.602,1.587,1.668,1.443,1.443,1.492,1.492,1.536,2.225
Solar 10 Mins,1.451,1.452,3.936,1.451,1.034,1.451,2.504,1.45,1.45,1.573,,1.451,1.821,1.614,,1.793,1.611,2.379,2.406,1.781,1.771,1.439,1.437,1.473,1.456
Solar Weekly,1.215,1.224,0.916,1.134,0.848,1.053,1.53,1.045,0.725,1.184,1.961,0.574,1.508,2.408,1.767,1.102,1.157,1.306,1.384,1.312,1.248,,,1.099,0.970
Sunspot,0.128,0.128,0.067,0.128,0.067,0.099,0.059,0.207,0.02,0.375,0.004,0.003,0.852,0.504,0.133,0.118,0.118,0.192,0.166,0.083,0.083,0.119,0.119,0.174,0.272
Temp. Rain,1.347,1.368,1.227,1.401,1.174,0.876,1.028,0.847,0.785,1.3,0.786,0.687,1.15,,,,1.093,0.791,0.795,,1.725,,0.861,1.201,1.050
Tourism Monthly,3.306,1.649,1.751,1.526,1.589,1.678,1.699,1.582,1.409,1.574,1.482,1.571,2.008,,,,,1.465,1.476,,,,,1.705,2.273
Tourism Quarterly,3.21,1.661,1.835,1.592,1.782,1.643,1.793,1.678,1.597,1.475,1.714,1.859,2.153,,,,,1.570,1.535,,,,,2.844,2.193
Tourism Yearly,3.253,3.015,3.685,3.395,3.775,3.516,3.553,3.401,3.205,2.977,3.624,3.552,2.59,,,,,109.908,3.195,,,,,5.358,3.259
Traffic Hourly,1.922,1.922,2.482,2.294,2.535,1.281,1.571,0.892,0.825,1.1,1.066,0.821,1.316,1.439,,0.963,0.923,0.873,0.850,0.922,0.918,0.964,0.896,0.924,0.799
Traffic Weekly,1.116,1.121,1.148,1.125,1.191,1.122,1.116,1.15,1.182,1.094,1.233,1.555,1.084,1.323,1.476,1.487,1.096,1.117,1.083,1.357,1.103,1.266,1.168,1.124,1.040
US Births,4.343,2.138,1.453,1.529,1.917,2.094,1.609,2.032,1.548,1.537,1.837,1.65,5.626,2.22,1.688,2.166,2.166,1.438,1.510,2.145,2.145,2.607,2.607,2.723,4.475
Vehicle Trips,1.224,1.244,1.86,1.305,1.282,1.212,1.176,1.843,1.929,2.143,1.851,2.532,2.428,,,,,1.747,1.728,,,,,2.015,2.164
Weather,0.677,0.749,0.689,0.702,0.746,3.046,0.762,0.638,0.631,0.717,0.721,0.65,0.88,,,,,0.625,0.621,,,,,0.648,0.621
